             x=-,0.104, y=0.413, z,=0.960 m (x-r,i        Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
             x=-,0.104, y=0.413, z,=0.960 m (x-r,ight, y-fwd, z-up,)
,,,,,,,,
Body to Sensor R,otations:
,,,,,,,,,,,
             xRo,t=0.000, yRot=90.,000, zRot=180,.000 degrees (Rot,ate IMU into Vehi,cle Frame)
,,,,,,,

,,,,,,,,,,,,
        Latitude,        Longitude,        H-Ell,         Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
      (+/-D M S),       (+/-D M S),          (m),       (+/-D M S),       (+/-D M S),          (m),         (sec),          (deg),          (deg),          (deg),     (m/s),     (m/s),     (m/s)
  33 06 57.03973,  -97 34 56.24962,     3522.995,   33 06 57.03973,  -97 34 56.24962,     3522.995, 1271010484.00, -164.234221359,  -1.4498582414,   0.3639657098,    -6.205,   -72.834,    -1.349
  33 06 54.67438,  -97 34 56.48956,     3521.710,   33 06 54.67438,  -97 34 56.48956,     3521.710, 1271010485.00, -164.312040487,  -1.3408243730,  -0.4079688684,    -6.214,   -72.987,    -1.197
  33 06 52.30412,  -97 34 56.72718,     3520.543,   33 06 52.30412,  -97 34 56.72718,     3520.543, 1271010486.00, -164.375776312,  -1.4656489583,  -0.9736787475,    -6.095,   -73.151,    -1.183
  33 06 49.92825,  -97 34 56.95949,     3519.300,   33 06 49.92825,  -97 34 56.95949,     3519.300, 1271010487.00, -164.577657991,  -1.4855076754,  -0.5120122745,    -5.984,   -73.310,    -1.279
  33 06 47.54714,  -97 34 57.18805,     3518.102,   33 06 47.54714,  -97 34 57.18805,     3518.102, 1271010488.00, -164.822465669,  -1.2581522927,  -0.4959981041,    -5.872,   -73.472,    -1.079
  33 06 45.16166,  -97 34 57.41214,     3517.099,   33 06 45.16166,  -97 34 57.41214,     3517.099, 1271010489.00, -164.880987578,  -1.2786871001,  -0.3876174076,    -5.767,   -73.595,    -0.986
  33 06 42.77266,  -97 34 57.63297,     3516.145,   33 06 42.77266,  -97 34 57.63297,     3516.145, 1271010490.00, -164.995710917,  -1.2072106152,  -0.2765266207,    -5.700,   -73.677,    -0.902
  33 06 40.38068,  -97 34 57.85078,     3515.241,   33 06 40.38068,  -97 34 57.85078,     3515.241, 1271010491.00, -164.971079461,  -1.2348730175,  -1.1394698151,    -5.580,   -73.788,    -0.902
  33 06 37.98502,  -97 34 58.06237,     3514.297,   33 06 37.98502,  -97 34 58.06237,     3514.297, 1271010492.00, -165.205780163,  -1.4845164585,  -1.5427919958,    -5.384,   -73.920,    -1.053
  33 06 35.58417,  -97 34 58.26447,     3513.144,   33 06 35.58417,  -97 34 58.26447,     3513.144, 1271010493.00, -165.556573573,  -1.5164760443,  -1.5191116501,    -5.101,   -74.088,    -1.197
  33 06 33.17783,  -97 34 58.45622,     3511.903,   33 06 33.17783,  -97 34 58.45622,     3511.903, 1271010494.00, -165.786301001,  -1.6703782376,  -1.2605243380,    -4.860,   -74.260,    -1.318
  33 06 30.76604,  -97 34 58.63951,     3510.540,   33 06 30.76604,  -97 34 58.63951,     3510.540, 1271010495.00, -165.974248347,  -1.6349694459,  -0.9584953659,    -4.667,   -74.424,    -1.364
  33 06 28.34941,  -97 34 58.81642,     3509.171,   33 06 28.34941,  -97 34 58.81642,     3509.171, 1271010496.00, -166.216563657,  -1.6458728327,  -0.2911943402,    -4.541,   -74.551,    -1.371
  33 06 25.92871,  -97 34 58.98999,     3507.858,   33 06 25.92871,  -97 34 58.98999,     3507.858, 1271010497.00, -166.322050917,  -1.3876121066,   0.1325996225,    -4.482,   -74.667,    -1.209
  33 06 23.50564,  -97 34 59.16270,     3506.885,   33 06 23.50564,  -97 34 59.16270,     3506.885, 1271010498.00, -166.277526367,  -0.9662302961,   0.4631561633,    -4.492,   -74.699,    -0.732
  33 06 21.08298,  -97 34 59.33688,     3506.424,   33 06 21.08298,  -97 34 59.33688,     3506.424, 1271010499.00, -166.232222594,  -0.5816209170,   0.3492292353,    -4.538,   -74.636,    -0.179
  33 06 18.66278,  -97 34 59.51189,     3506.366,   33 06 18.66278,  -97 34 59.51189,     3506.366, 1271010500.00, -166.243641643,  -0.4583834248,   0.0902866894,    -4.525,   -74.566,     0.041
  33 06 16.24547,  -97 34 59.68521,     3506.586,   33 06 16.24547,  -97 34 59.68521,     3506.586, 1271010501.00, -166.177728578,  -0.1042955074,  -0.1355217073,    -4.461,   -74.453,     0.419
  33 06 13.83241,  -97 34 59.85545,     3507.170,   33 06 13.83241,  -97 34 59.85545,     3507.170, 1271010502.00, -166.245022471,  -0.0386460033,  -0.2793455730,    -4.358,   -74.305,     0.663
  33 06 11.42383,  -97 35 00.02118,     3507.882,   33 06 11.42383,  -97 35 00.02118,     3507.882, 1271010503.00, -166.287793770,   0.0839268578,  -0.4395961387,    -4.236,   -74.180,     0.771
  33 06 09.01981,  -97 35 00.18140,     3508.743,   33 06 09.01981,  -97 35 00.18140,     3508.743, 1271010504.00, -166.409833781,   0.1799030181,  -0.2143893478,    -4.084,   -74.027,     0.916
  33 06 06.62073,  -97 35 00.33645,     3509.719,   33 06 06.62073,  -97 35 00.33645,     3509.719, 1271010505.00, -166.451315925,   0.3403426599,   0.1325824338,    -3.969,   -73.864,     1.044
  33 06 04.22773,  -97 35 00.48874,     3510.890,   33 06 04.22773,  -97 35 00.48874,     3510.890, 1271010506.00, -166.476044784,   0.4758185305,   0.4981638846,    -3.938,   -73.658,     1.283
  33 06 01.84143,  -97 35 00.63969,     3512.090,   33 06 01.84143,  -97 35 00.63969,     3512.090, 1271010507.00, -166.363590357,   0.3486677366,   0.4177091510,    -3.903,   -73.460,     1.114
  33 05 59.46114,  -97 35 00.79011,     3513.217,   33 05 59.46114,  -97 35 00.79011,     3513.217, 1271010508.00, -166.345966175,   0.4743173811,   0.4228715007,    -3.900,   -73.279,     1.173
  33 05 57.08695,  -97 35 00.93978,     3514.408,   33 05 57.08695,  -97 35 00.93978,     3514.408, 1271010509.00, -166.451699807,   0.3597773883,   0.2956691406,    -3.853,   -73.098,     1.144
  33 05 54.71785,  -97 35 01.08710,     3515.458,   33 05 54.71785,  -97 35 01.08710,     3515.458, 1271010510.00, -166.329041002,   0.1786138631,   0.3717407471,    -3.804,   -72.954,     0.942
  33 05 52.35307,  -97 35 01.23373,     3516.302,   33 05 52.35307,  -97 35 01.23373,     3516.302, 1271010511.00, -166.375009406,   0.0804318153,   0.5545486612,    -3.804,   -72.841,     0.750
  33 05 49.99180,  -97 35 01.38034,     3516.979,   33 05 49.99180,  -97 35 01.38034,     3516.979, 1271010512.00, -166.366712977,   0.0062968062,   0.5692622174,    -3.802,   -72.731,     0.614
  33 05 47.63363,  -97 35 01.52741,     3517.566,   33 05 47.63363,  -97 35 01.52741,     3517.566, 1271010513.00, -166.327671633,   0.0673454592,   0.6853434666,    -3.836,   -72.640,     0.593
  33 05 45.27875,  -97 35 01.67570,     3518.219,   33 05 45.27875,  -97 35 01.67570,     3518.219, 1271010514.00, -166.357826402,   0.1778747475,   0.5774154068,    -3.846,   -72.539,     0.714
  33 05 42.92705,  -97 35 01.82363,     3518.925,   33 05 42.92705,  -97 35 01.82363,     3518.925, 1271010515.00, -166.201632377,  -0.0059816794,   0.9027236541,    -3.849,   -72.438,     0.648
  33 05 40.57825,  -97 35 01.97385,     3519.373,   33 05 40.57825,  -97 35 01.97385,     3519.373, 1271010516.00, -166.185801553,  -0.4047946823,   1.4093902324,    -3.958,   -72.374,     0.208
  33 05 38.23090,  -97 35 02.12885,     3519.369,   33 05 38.23090,  -97 35 02.12885,     3519.369, 1271010517.00, -165.962514171,  -0.6988480819,   1.2028102993,    -4.078,   -72.348,    -0.199
  33 05 35.88333,  -97 35 02.28898,     3519.007,   33 05 35.88333,  -97 35 02.28898,     3519.007, 1271010518.00, -165.643594403,  -0.8615050703,   1.0923153885,    -4.235,   -72.376,    -0.486
  33 05 33.53475,  -97 35 02.45530,     3518.446,   33 05 33.53475,  -97 35 02.45530,     3518.446, 1271010519.00, -165.596422788,  -0.9211728951,   0.9568910841,    -4.389,   -72.418,    -0.609
  33 05 31.18447,  -97 35 02.62678,     3517.797,   33 05 31.18447,  -97 35 02.62678,     3517.797, 1271010520.00, -165.659872134,  -1.0014901188,   0.8137203902,    -4.502,   -72.472,    -0.683
  33 05 28.83183,  -97 35 02.80191,     3517.036,   33 05 28.83183,  -97 35 02.80191,     3517.036, 1271010521.00, -165.644591350,  -1.1166546357,   0.5969246197,    -4.584,   -72.569,    -0.847
  33 05 26.47610,  -97 35 02.97948,     3516.207,   33 05 26.47610,  -97 35 02.97948,     3516.207, 1271010522.00, -165.615530930,  -1.1059517841,   0.4329956649,    -4.620,   -72.661,    -0.806
  33 05 24.11711,  -97 35 03.15849,     3515.353,   33 05 24.11711,  -97 35 03.15849,     3515.353, 1271010523.00, -165.498057394,  -1.1539369994,   0.3849245059,    -4.672,   -72.761,    -0.876
  33 05 21.75503,  -97 35 03.33988,     3514.540,   33 05 21.75503,  -97 35 03.33988,     3514.540, 1271010524.00, -165.595918585,  -0.9883808445,   0.2739253923,    -4.727,   -72.859,    -0.715
  33 05 19.38999,  -97 35 03.52116,     3513.920,   33 05 19.38999,  -97 35 03.52116,     3513.920, 1271010525.00, -165.545618620,  -0.8917572419,   0.0003666930,    -4.685,   -72.940,    -0.538
  33 05 17.02237,  -97 35 03.70119,     3513.463,   33 05 17.02237,  -97 35 03.70119,     3513.463, 1271010526.00, -165.628537072,  -0.7226143712,  -0.0550383258,    -4.655,   -73.007,    -0.349
  33 05 14.65313,  -97 35 03.87937,     3513.235,   33 05 14.65313,  -97 35 03.87937,     3513.235, 1271010527.00, -165.686388621,  -0.5206524780,  -0.1906287880,    -4.593,   -73.049,    -0.106
  33 05 12.28328,  -97 35 04.05475,     3513.270,   33 05 12.28328,  -97 35 04.05475,     3513.270, 1271010528.00, -165.838210977,  -0.3199797398,  -0.2940419405,    -4.503,   -73.045,     0.174
  33 05 09.91355,  -97 35 04.22554,     3513.592,   33 05 09.91355,  -97 35 04.22554,     3513.592, 1271010529.00, -165.984876714,  -0.1064899358,  -0.5886110021,    -4.352,   -73.037,     0.467
  33 05 07.54456,  -97 35 04.38938,     3514.136,   33 05 07.54456,  -97 35 04.38938,     3514.136, 1271010530.00, -166.054084286,  -0.0510906466,  -0.6721138712,    -4.160,   -73.013,     0.586
  33 05 05.17671,  -97 35 04.54608,     3514.819,   33 05 05.17671,  -97 35 04.54608,     3514.819, 1271010531.00, -166.148989015,   0.1551798892,  -0.6964187408,    -3.972,   -72.955,     0.796
  33 05 02.81085,  -97 35 04.69539,     3515.703,   33 05 02.81085,  -97 35 04.69539,     3515.703, 1271010532.00, -166.300467597,   0.1050346230,  -0.7934892505,    -3.772,   -72.896,     0.908
  33 05 00.44660,  -97 35 04.83654,     3516.368,   33 05 00.44660,  -97 35 04.83654,     3516.368, 1271010533.00, -166.423464447,  -0.5203201625,  -0.1657108535,    -3.596,   -72.877,     0.297
  33 04 58.08221,  -97 35 04.97419,     3516.539,   33 04 58.08221,  -97 35 04.97419,     3516.539, 1271010534.00, -166.603665403,  -0.3097295249,   0.4419509953,    -3.556,   -72.872,     0.188
  33 04 55.71809,  -97 35 05.11083,     3516.713,   33 04 55.71809,  -97 35 05.11083,     3516.713, 1271010535.00, -166.481264429,  -0.3875429230,   0.6668713073,    -3.549,   -72.875,     0.135
  33 04 53.35462,  -97 35 05.24919,     3516.843,   33 04 53.35462,  -97 35 05.24919,     3516.843, 1271010536.00, -166.409381144,  -0.2844047903,   1.1540515910,    -3.644,   -72.829,     0.151
  33 04 50.99263,  -97 35 05.39206,     3517.044,   33 04 50.99263,  -97 35 05.39206,     3517.044, 1271010537.00, -166.377793981,  -0.1585546106,   1.4178241711,    -3.774,   -72.773,     0.270
  33 04 48.63281,  -97 35 05.54017,     3517.324,   33 04 48.63281,  -97 35 05.54017,     3517.324, 1271010538.00, -166.206691595,  -0.1905657627,   1.6083842042,    -3.922,   -72.710,     0.267
  33 04 46.27537,  -97 35 05.69482,     3517.593,   33 04 46.27537,  -97 35 05.69482,     3517.593, 1271010539.00, -165.983421401,  -0.1812723872,   1.7479796414,    -4.111,   -72.619,     0.276
  33 04 43.92052,  -97 35 05.85696,     3517.834,   33 04 43.92052,  -97 35 05.85696,     3517.834, 1271010540.00, -165.751786024,  -0.3396207331,   1.3938115099,    -4.288,   -72.560,     0.177
  33 04 41.56733,  -97 35 06.02549,     3517.860,   33 04 41.56733,  -97 35 06.02549,     3517.860, 1271010541.00, -165.606082856,  -0.6017260060,   1.8177429825,    -4.481,   -72.520,    -0.147
  33 04 39.21485,  -97 35 06.20211,     3517.642,   33 04 39.21485,  -97 35 06.20211,     3517.642, 1271010542.00, -165.353700677,  -0.5930456954,   1.1710054121,    -4.664,   -72.505,    -0.242
  33 04 36.86252,  -97 35 06.38483,     3517.427,   33 04 36.86252,  -97 35 06.38483,     3517.427, 1271010543.00, -165.267413233,  -0.5015959017,   0.6204330780,    -4.795,   -72.515,    -0.164
  33 04 34.51005,  -97 35 06.57003,     3517.334,   33 04 34.51005,  -97 35 06.57003,     3517.334, 1271010544.00, -165.309411039,  -0.6068597079,   0.0497499254,    -4.795,   -72.521,    -0.095
  33 04 32.15641,  -97 35 06.75378,     3517.115,   33 04 32.15641,  -97 35 06.75378,     3517.115, 1271010545.00, -165.341834721,  -0.8347765892,   0.0224943230,    -4.748,   -72.579,    -0.358
  33 04 29.80062,  -97 35 06.93614,     3516.672,   33 04 29.80062,  -97 35 06.93614,     3516.672, 1271010546.00, -165.510112426,  -0.8352177667,   0.1026740369,    -4.714,   -72.660,    -0.487
  33 04 27.44232,  -97 35 07.11713,     3516.203,   33 04 27.44232,  -97 35 07.11713,     3516.203, 1271010547.00, -165.483836581,  -0.7615755013,   0.0836518381,    -4.675,   -72.725,    -0.428
  33 04 25.08189,  -97 35 07.29711,     3515.818,   33 04 25.08189,  -97 35 07.29711,     3515.818, 1271010548.00, -165.459405661,  -0.5992565579,  -0.0272384136,    -4.663,   -72.784,    -0.303
  33 04 22.71996,  -97 35 07.47510,     3515.602,   33 04 22.71996,  -97 35 07.47510,     3515.602, 1271010549.00, -165.490792289,  -0.5761720884,  -0.9339383948,    -4.545,   -72.834,    -0.143
  33 04 20.35577,  -97 35 07.64596,     3515.350,   33 04 20.35577,  -97 35 07.64596,     3515.350, 1271010550.00, -165.615548119,  -0.8455825732,  -1.3593366394,    -4.316,   -72.924,    -0.382
  33 04 17.98772,  -97 35 07.80732,     3514.898,   33 04 17.98772,  -97 35 07.80732,     3514.898, 1271010551.00, -165.797800264,  -0.9767727196,  -1.2721152742,    -4.074,   -73.059,    -0.520
  33 04 15.61539,  -97 35 07.96001,     3514.253,   33 04 15.61539,  -97 35 07.96001,     3514.253, 1271010552.00, -166.102052312,  -1.1304113523,  -1.1336313751,    -3.856,   -73.196,    -0.758
  33 04 13.23824,  -97 35 08.10439,     3513.408,   33 04 13.23824,  -97 35 08.10439,     3513.408, 1271010553.00, -166.358869185,  -1.2665575836,  -0.7616270675,    -3.651,   -73.349,    -0.919
  33 04 10.85612,  -97 35 08.24272,     3512.379,   33 04 10.85612,  -97 35 08.24272,     3512.379, 1271010554.00, -166.639893524,  -1.3424458436,   0.2865533821,    -3.564,   -73.504,    -1.115
  33 04 08.46959,  -97 35 08.37978,     3511.276,   33 04 08.46959,  -97 35 08.37978,     3511.276, 1271010555.00, -166.636490155,  -1.2156903906,   0.8699791161,    -3.570,   -73.616,    -1.073
  33 04 06.08013,  -97 35 08.52004,     3510.315,   33 04 06.08013,  -97 35 08.52004,     3510.315, 1271010556.00, -166.464178828,  -0.9432432294,   1.4113211001,    -3.728,   -73.669,    -0.818
  33 04 03.69009,  -97 35 08.66771,     3509.671,   33 04 03.69009,  -97 35 08.66771,     3509.671, 1271010557.00, -166.374499474,  -0.7510388074,   1.2702015952,    -3.931,   -73.668,    -0.492
  33 04 01.30068,  -97 35 08.82180,     3509.267,   33 04 01.30068,  -97 35 08.82180,     3509.267, 1271010558.00, -166.152587190,  -0.6154941818,   0.7255249968,    -4.055,   -73.636,    -0.306
  33 03 58.91212,  -97 35 08.97956,     3509.070,   33 03 58.91212,  -97 35 08.97956,     3509.070, 1271010559.00, -166.097228008,  -0.4561202415,   0.2926038164,    -4.116,   -73.610,    -0.087
  33 03 56.52479,  -97 35 09.13816,     3509.177,   33 03 56.52479,  -97 35 09.13816,     3509.177, 1271010560.00, -166.170709845,   0.0838924804,  -0.1558674386,    -4.098,   -73.560,     0.365
  33 03 54.14037,  -97 35 09.29329,     3509.965,   33 03 54.14037,  -97 35 09.29329,     3509.965, 1271010561.00, -166.212289392,   0.8460237507,  -0.6889874782,    -3.924,   -73.416,     1.254
  33 03 51.76177,  -97 35 09.44020,     3511.507,   33 03 51.76177,  -97 35 09.44020,     3511.507, 1271010562.00, -166.255461762,   0.7987776509,  -0.6252688418,    -3.715,   -73.223,     1.635
  33 03 49.38948,  -97 35 09.57975,     3513.116,   33 03 49.38948,  -97 35 09.57975,     3513.116, 1271010563.00, -166.473477933,   0.7524196357,  -0.2296414843,    -3.545,   -73.027,     1.567
  33 03 47.02317,  -97 35 09.71355,     3514.542,   33 03 47.02317,  -97 35 09.71355,     3514.542, 1271010564.00, -166.626635281,   0.1297462927,  -0.0080385979,    -3.417,   -72.870,     1.123
  33 03 44.66015,  -97 35 09.84330,     3515.348,   33 03 44.66015,  -97 35 09.84330,     3515.348, 1271010565.00, -166.603126823,  -0.0083823725,   0.2087915501,    -3.336,   -72.809,     0.615
  33 03 42.29916,  -97 35 09.97101,     3515.824,   33 03 42.29916,  -97 35 09.97101,     3515.824, 1271010566.00, -166.560917022,  -0.2764464066,   0.4238856360,    -3.300,   -72.754,     0.318
  33 03 39.93911,  -97 35 10.09844,     3516.022,   33 03 39.93911,  -97 35 10.09844,     3516.022, 1271010567.00, -166.441930876,  -0.3846093791,   0.5380016400,    -3.325,   -72.735,     0.113
  33 03 37.57948,  -97 35 10.22707,     3515.994,   33 03 37.57948,  -97 35 10.22707,     3515.994, 1271010568.00, -166.455223497,  -0.5851159595,   0.2910625599,    -3.346,   -72.745,    -0.158
  33 03 35.21894,  -97 35 10.35551,     3515.769,   33 03 35.21894,  -97 35 10.35551,     3515.769, 1271010569.00, -166.542845933,  -0.7926527321,   0.0907393260,    -3.314,   -72.783,    -0.318
  33 03 32.85621,  -97 35 10.48227,     3515.319,   33 03 32.85621,  -97 35 10.48227,     3515.319, 1271010570.00, -166.529072028,  -0.8856609710,   0.1761501445,    -3.280,   -72.876,    -0.543
  33 03 30.49082,  -97 35 10.60863,     3514.780,   33 03 30.49082,  -97 35 10.60863,     3514.780, 1271010571.00, -166.593558427,  -0.7606988759,   0.2505888213,    -3.280,   -72.946,    -0.496
  33 03 28.12326,  -97 35 10.73491,     3514.416,   33 03 28.12326,  -97 35 10.73491,     3514.416, 1271010572.00, -166.639670071,  -0.4275525659,   0.2303748703,    -3.278,   -72.993,    -0.192
  33 03 25.75509,  -97 35 10.86042,     3514.427,   33 03 25.75509,  -97 35 10.86042,     3514.427, 1271010573.00, -166.738803228,  -0.5129920323,   0.1488888126,    -3.232,   -73.002,     0.084
  33 03 23.38636,  -97 35 10.98429,     3514.324,   33 03 23.38636,  -97 35 10.98429,     3514.324, 1271010574.00, -166.709032341,  -0.6931414222,   0.5893902247,    -3.221,   -73.027,    -0.245
  33 03 21.01675,  -97 35 11.10981,     3514.079,   33 03 21.01675,  -97 35 11.10981,     3514.079, 1271010575.00, -166.791102816,  -0.5187273398,   0.8745799672,    -3.296,   -73.049,    -0.201
  33 03 18.64699,  -97 35 11.23796,     3514.024,   33 03 18.64699,  -97 35 11.23796,     3514.024, 1271010576.00, -166.722101509,  -0.1145858294,   0.8834321652,    -3.367,   -73.032,     0.155
  33 03 16.27910,  -97 35 11.36898,     3514.470,   33 03 16.27910,  -97 35 11.36898,     3514.470, 1271010577.00, -166.647324787,   0.3410473980,   0.8418411588,    -3.430,   -72.930,     0.738
  33 03 13.91537,  -97 35 11.50195,     3515.460,   33 03 13.91537,  -97 35 11.50195,     3515.460, 1271010578.00, -166.492551698,   0.5577801431,   0.5321803889,    -3.464,   -72.780,     1.186
  33 03 11.55695,  -97 35 11.63574,     3516.695,   33 03 11.55695,  -97 35 11.63574,     3516.695, 1271010579.00, -166.537952873,   0.5355952173,   0.1305541632,    -3.461,   -72.621,     1.259
  33 03 09.20301,  -97 35 11.76705,     3517.946,   33 03 09.20301,  -97 35 11.76705,     3517.946, 1271010580.00, -166.494012740,   0.5585307178,  -0.5769570405,    -3.336,   -72.495,     1.267
  33 03 06.85267,  -97 35 11.89227,     3519.191,   33 03 06.85267,  -97 35 11.89227,     3519.191, 1271010581.00, -166.642660910,   0.4037461695,  -0.5684944539,    -3.160,   -72.410,     1.170
  33 03 04.50486,  -97 35 12.01106,     3520.199,   33 03 04.50486,  -97 35 12.01106,     3520.199, 1271010582.00, -166.912655812,   0.1069597612,   0.2816889704,    -3.036,   -72.337,     0.811
  33 03 02.15859,  -97 35 12.12674,     3520.896,   33 03 02.15859,  -97 35 12.12674,     3520.896, 1271010583.00, -166.855251171,   0.1656764760,   0.3934042813,    -2.975,   -72.302,     0.656
  33 02 59.81398,  -97 35 12.24092,     3521.597,   33 02 59.81398,  -97 35 12.24092,     3521.597, 1271010584.00, -166.735783741,   0.2948268926,   0.4656886367,    -2.954,   -72.238,     0.758
  33 02 57.47153,  -97 35 12.35436,     3522.354,   33 02 57.47153,  -97 35 12.35436,     3522.354, 1271010585.00, -166.643692234,   0.1602620249,   0.4884006837,    -2.933,   -72.174,     0.709
  33 02 55.13089,  -97 35 12.46789,     3522.975,   33 02 55.13089,  -97 35 12.46789,     3522.975, 1271010586.00, -166.563294797,  -0.0769425023,   0.7746503982,    -2.977,   -72.130,     0.487
  33 02 52.79147,  -97 35 12.58407,     3523.305,   33 02 52.79147,  -97 35 12.58407,     3523.305, 1271010587.00, -166.687282864,  -0.2529322187,   1.0386922685,    -3.055,   -72.096,     0.204
  33 02 50.45223,  -97 35 12.70324,     3523.366,   33 02 50.45223,  -97 35 12.70324,     3523.366, 1271010588.00, -166.573063727,  -0.4581714305,   0.6015140116,    -3.119,   -72.122,    -0.065
  33 02 48.11178,  -97 35 12.82390,     3523.258,   33 02 48.11178,  -97 35 12.82390,     3523.258, 1271010589.00, -166.421264289,  -0.5303469239,   0.1897235147,    -3.134,   -72.169,    -0.144
  33 02 45.76934,  -97 35 12.94438,     3523.041,   33 02 45.76934,  -97 35 12.94438,     3523.041, 1271010590.00, -166.507253795,  -0.6045220401,   0.0387892427,    -3.111,   -72.239,    -0.261
  33 02 43.42427,  -97 35 13.06350,     3522.770,   33 02 43.42427,  -97 35 13.06350,     3522.770, 1271010591.00, -166.621232289,  -0.5987065184,   0.2837974551,    -3.084,   -72.329,    -0.272
  33 02 41.07683,  -97 35 13.18196,     3522.505,   33 02 41.07683,  -97 35 13.18196,     3522.505, 1271010592.00, -166.701228656,  -0.6097531447,   0.7896848107,    -3.081,   -72.383,    -0.274
  33 02 38.72768,  -97 35 13.30222,     3522.205,   33 02 38.72768,  -97 35 13.30222,     3522.205, 1271010593.00, -166.685712959,  -0.6915084925,   1.3304366482,    -3.176,   -72.432,    -0.341
  33 02 36.37726,  -97 35 13.42771,     3521.819,   33 02 36.37726,  -97 35 13.42771,     3521.819, 1271010594.00, -166.579011029,  -0.6861914442,   1.7509991290,    -3.356,   -72.468,    -0.419
  33 02 34.02615,  -97 35 13.56124,     3521.410,   33 02 34.02615,  -97 35 13.56124,     3521.410, 1271010595.00, -166.427028244,  -0.6866039738,   2.0736946888,    -3.584,   -72.470,    -0.414
  33 02 31.67482,  -97 35 13.70453,     3520.995,   33 02 31.67482,  -97 35 13.70453,     3520.995, 1271010596.00, -166.157623489,  -0.6790867675,   2.3355765082,    -3.862,   -72.479,    -0.418
  33 02 29.32387,  -97 35 13.85982,     3520.608,   33 02 29.32387,  -97 35 13.85982,     3520.608, 1271010597.00, -165.767204318,  -0.5938879434,   2.3854410251,    -4.212,   -72.449,    -0.343
  33 02 26.97437,  -97 35 14.02920,     3520.316,   33 02 26.97437,  -97 35 14.02920,     3520.316, 1271010598.00, -165.652446601,  -0.6095927166,   2.7928999611,    -4.586,   -72.383,    -0.276
  33 02 24.62680,  -97 35 14.21305,     3520.009,   33 02 24.62680,  -97 35 14.21305,     3520.009, 1271010599.00, -165.419797088,  -0.5812083874,   2.7570557214,    -4.951,   -72.342,    -0.325
  33 02 22.28125,  -97 35 14.41146,     3519.759,   33 02 22.28125,  -97 35 14.41146,     3519.759, 1271010600.00, -165.015271696,  -0.3793954632,   2.7535778676,    -5.345,   -72.253,    -0.139
  33 02 19.93891,  -97 35 14.62494,     3519.679,   33 02 19.93891,  -97 35 14.62494,     3519.679, 1271010601.00, -164.741225983,  -0.4016147665,   2.8202873437,    -5.733,   -72.142,    -0.058
  33 02 17.60014,  -97 35 14.85342,     3519.628,   33 02 17.60014,  -97 35 14.85342,     3519.628, 1271010602.00, -164.470898765,  -0.4629842759,   2.8464371375,    -6.126,   -72.039,    -0.063
  33 02 15.26469,  -97 35 15.09650,     3519.522,   33 02 15.26469,  -97 35 15.09650,     3519.522, 1271010603.00, -164.099072075,  -0.4598616559,   2.8216452537,    -6.493,   -71.938,    -0.138
  33 02 12.93267,  -97 35 15.35479,     3519.461,   33 02 12.93267,  -97 35 15.35479,     3519.461, 1271010604.00, -163.737942506,  -0.2214138104,   2.8069030496,    -6.912,   -71.813,     0.054
  33 02 10.60534,  -97 35 15.62864,     3519.659,   33 02 10.60534,  -97 35 15.62864,     3519.659, 1271010605.00, -163.468509103,   0.0433041502,   2.5721737001,    -7.291,   -71.661,     0.350
  33 02 08.28374,  -97 35 15.91602,     3520.170,   33 02 08.28374,  -97 35 15.91602,     3520.170, 1271010606.00, -163.154614175,   0.2487152493,   2.1729424380,    -7.620,   -71.458,     0.658
  33 02 05.96838,  -97 35 16.21407,     3520.936,   33 02 05.96838,  -97 35 16.21407,     3520.936, 1271010607.00, -162.934277525,   0.3496417649,   1.3950548283,    -7.824,   -71.281,     0.864
  33 02 03.65857,  -97 35 16.51779,     3521.872,   33 02 03.65857,  -97 35 16.51779,     3521.872, 1271010608.00, -162.699519528,   0.3027566285,   0.7055631472,    -7.929,   -71.121,     0.976
  33 02 01.35324,  -97 35 16.82389,     3522.716,   33 02 01.35324,  -97 35 16.82389,     3522.716, 1271010609.00, -162.723767102,   0.1535870666,   0.2326781606,    -7.950,   -71.007,     0.745
  33 01 59.05066,  -97 35 17.12918,     3523.443,   33 01 59.05066,  -97 35 17.12918,     3523.443, 1271010610.00, -162.778341332,   0.2410490740,  -0.3399874261,    -7.889,   -70.944,     0.744
  33 01 56.75021,  -97 35 17.43014,     3524.255,   33 01 56.75021,  -97 35 17.43014,     3524.255, 1271010611.00, -162.996913271,   0.3776536715,  -0.9489269707,    -7.715,   -70.882,     0.889
  33 01 54.45113,  -97 35 17.72173,     3525.224,   33 01 54.45113,  -97 35 17.72173,     3525.224, 1271010612.00, -163.156212727,   0.3094716939,  -1.4369724206,    -7.417,   -70.849,     1.031
  33 01 52.15254,  -97 35 18.00186,     3526.069,   33 01 52.15254,  -97 35 18.00186,     3526.069, 1271010613.00, -163.496303286,   0.0609397911,  -1.2981103694,    -7.132,   -70.868,     0.662
  33 01 49.85318,  -97 35 18.27084,     3526.658,   33 01 49.85318,  -97 35 18.27084,     3526.658, 1271010614.00, -163.696477550,  -0.0821564182,  -0.9520667794,    -6.854,   -70.882,     0.505
