             x=-,0.104, y=0.413, z,=0.960 m (x-r,i        Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
             x=-,0.104, y=0.413, z,=0.960 m (x-r,ight, y-fwd, z-up,)
,,,,,,,,
Body to Sensor R,otations:
,,,,,,,,,,,
             xRo,t=0.000, yRot=90.,000, zRot=180,.000 degrees (Rot,ate IMU into Vehi,cle Frame)
,,,,,,,

,,,,,,,,,,,,
        Latitude,        Longitude,        H-Ell,         Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
      (+/-D M S),       (+/-D M S),          (m),       (+/-D M S),       (+/-D M S),          (m),         (sec),          (deg),          (deg),          (deg),     (m/s),     (m/s),     (m/s)
  33 17 22.98276,  -97 33 15.93296,     3493.115,   33 17 22.98276,  -97 33 15.93296,     3493.115, 1271009597.00, -14.1159157734,   0.2423611473,  -0.1791237955,     2.461,    52.721,    -0.170
  33 17 24.69339,  -97 33 15.83971,     3492.980,   33 17 24.69339,  -97 33 15.83971,     3492.980, 1271009598.00, -14.1198863709,   0.2559345175,  -1.3311299271,     2.324,    52.725,    -0.106
  33 17 26.40342,  -97 33 15.75451,     3492.873,   33 17 26.40342,  -97 33 15.75451,     3492.873, 1271009599.00, -14.6758044012,   0.3221627090,  -1.6379660151,     2.070,    52.695,    -0.100
  33 17 28.11179,  -97 33 15.68088,     3492.841,   33 17 28.11179,  -97 33 15.68088,     3492.841, 1271009600.00, -15.1780935819,   0.4899419402,  -1.1610302169,     1.776,    52.627,     0.032
  33 17 29.81790,  -97 33 15.61715,     3492.939,   33 17 29.81790,  -97 33 15.61715,     3492.939, 1271009601.00, -15.6721550886,   0.5810422296,  -0.3614103180,     1.547,    52.562,     0.155
  33 17 31.52192,  -97 33 15.55947,     3493.117,   33 17 31.52192,  -97 33 15.55947,     3493.117, 1271009602.00, -15.7968536232,   0.5732500036,   0.8068047896,     1.483,    52.511,     0.187
  33 17 33.22563,  -97 33 15.50086,     3493.239,   33 17 33.22563,  -97 33 15.50086,     3493.239, 1271009603.00, -15.5541315124,   0.4567218472,   1.5301582764,     1.578,    52.525,     0.069
  33 17 34.93040,  -97 33 15.43639,     3493.293,   33 17 34.93040,  -97 33 15.43639,     3493.293, 1271009604.00, -15.0935364705,   0.3527357370,   1.5891557406,     1.755,    52.575,     0.031
  33 17 36.63715,  -97 33 15.36430,     3493.246,   33 17 36.63715,  -97 33 15.36430,     3493.246, 1271009605.00, -14.6091694096,   0.2723898654,   1.6550802645,     1.979,    52.648,    -0.110
  33 17 38.34661,  -97 33 15.28359,     3493.131,   33 17 38.34661,  -97 33 15.28359,     3493.131, 1271009606.00, -14.2290863971,   0.2722810034,   0.6473907423,     2.163,    52.729,    -0.123
  33 17 40.05792,  -97 33 15.19919,     3493.001,   33 17 40.05792,  -97 33 15.19919,     3493.001, 1271009607.00, -14.0902587233,   0.1848018072,  -0.5396402993,     2.165,    52.766,    -0.145
