  31 09 03.55512,  -97 24 43.89896,      181.503,         Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
  30 57 46.96572,  -97 39 57.62953,     2777.667,   30 57 46.96572,  -97 39 57.62953,     2777.667, 1266457975.00, -122.018788417,  -0.3114254800,  -1.7088065169,   -44.195,   -34.043,    -0.967
  30 57 45.85350,  -97 39 59.29168,     2776.664,   30 57 45.85350,  -97 39 59.29168,     2776.664, 1266457976.00, -122.391096392,  -0.3345615157,  -1.6988886175,   -44.063,   -34.498,    -1.021
  30 57 44.72656,  -97 40 00.94899,     2775.602,   30 57 44.72656,  -97 40 00.94899,     2775.602, 1266457977.00, -122.746055206,  -0.3748920149,  -1.6845188360,   -43.936,   -34.954,    -1.087
  30 57 43.58525,  -97 40 02.60174,     2774.487,   30 57 43.58525,  -97 40 02.60174,     2774.487, 1266457978.00, -123.170611202,  -0.3974608225,  -1.5791690862,   -43.820,   -35.393,    -1.139
  30 57 42.42982,  -97 40 04.24984,     2773.377,   30 57 42.42982,  -97 40 04.24984,     2773.377, 1266457979.00, -123.613370068,  -0.3178426073,  -1.2324494061,   -43.698,   -35.812,    -1.063
  30 57 41.26096,  -97 40 05.89322,     2772.366,   30 57 41.26096,  -97 40 05.89322,     2772.366, 1266457980.00, -123.816936243,  -0.2312572253,  -1.1794393509,   -43.567,   -36.220,    -0.960
  30 57 40.08070,  -97 40 07.53260,     2771.497,   30 57 40.08070,  -97 40 07.53260,     2771.497, 1266457981.00, -124.216213342,  -0.0023605861,   0.2567137401,   -43.500,   -36.483,    -0.770
  30 57 38.89413,  -97 40 09.17006,     2770.914,   30 57 38.89413,  -97 40 09.17006,     2770.914, 1266457982.00, -124.240243192,   0.3225179429,   0.5892297965,   -43.453,   -36.621,    -0.396
  30 57 37.70474,  -97 40 10.80579,     2770.747,   30 57 37.70474,  -97 40 10.80579,     2770.747, 1266457983.00, -124.122282641,   0.8647594706,   0.7948872675,   -43.403,   -36.654,     0.115
  30 57 36.51569,  -97 40 12.43859,     2771.109,   30 57 36.51569,  -97 40 12.43859,     2771.109, 1266457984.00, -124.281221133,   1.1304400002,   1.0211826783,   -43.301,   -36.614,     0.557
  30 57 35.32845,  -97 40 14.06707,     2771.845,   30 57 35.32845,  -97 40 14.06707,     2771.845, 1266457985.00, -124.269893757,   1.5074061224,   1.2858834500,   -43.178,   -36.527,     0.939
  30 57 34.14569,  -97 40 15.69073,     2772.995,   30 57 34.14569,  -97 40 15.69073,     2772.995, 1266457986.00, -124.260634760,   1.8962267413,   1.8130791061,   -43.050,   -36.336,     1.360
  30 57 32.97056,  -97 40 17.30941,     2774.580,   30 57 32.97056,  -97 40 17.30941,     2774.580, 1266457987.00, -124.191948579,   2.2934297328,   2.1125011202,   -42.907,   -36.063,     1.811
  30 57 31.80528,  -97 40 18.92213,     2776.619,   30 57 31.80528,  -97 40 18.92213,     2776.619, 1266457988.00, -123.953638243,   2.6116963288,   1.8773305932,   -42.728,   -35.739,     2.250
  30 57 30.65020,  -97 40 20.52722,     2778.979,   30 57 30.65020,  -97 40 20.52722,     2778.979, 1266457989.00, -123.825461855,   2.6274927752,   1.6146638216,   -42.514,   -35.440,     2.408
  30 57 29.50397,  -97 40 22.12382,     2781.381,   30 57 29.50397,  -97 40 22.12382,     2781.381, 1266457990.00, -123.847440516,   2.3882141408,   1.2575048504,   -42.282,   -35.203,     2.315
  30 57 28.36375,  -97 40 23.71160,     2783.578,   30 57 28.36375,  -97 40 23.71160,     2783.578, 1266457991.00, -123.837224678,   2.3081432890,   0.8533919880,   -42.039,   -35.063,     2.111
  30 57 27.22738,  -97 40 25.28998,     2785.676,   30 57 27.22738,  -97 40 25.28998,     2785.676, 1266457992.00, -123.810467549,   2.4051106662,   0.4688169863,   -41.779,   -34.969,     2.111
  30 57 26.09356,  -97 40 26.85792,     2787.865,   30 57 26.09356,  -97 40 26.85792,     2787.865, 1266457993.00, -124.004035611,   2.6579684003,   0.1645305604,   -41.474,   -34.911,     2.281
  30 57 24.96092,  -97 40 28.41305,     2790.231,   30 57 24.96092,  -97 40 28.41305,     2790.231, 1266457994.00, -124.190590669,   2.8019928013,   0.1021010791,   -41.113,   -34.891,     2.425
  30 57 23.82895,  -97 40 29.95444,     2792.709,   30 57 23.82895,  -97 40 29.95444,     2792.709, 1266457995.00, -124.325883193,   2.9630111305,   0.1111538123,   -40.742,   -34.868,     2.524
  30 57 22.69783,  -97 40 31.48174,     2795.267,   30 57 22.69783,  -97 40 31.48174,     2795.267, 1266457996.00, -124.477946192,   3.0596347330,   0.1536500919,   -40.361,   -34.838,     2.580
  30 57 21.56771,  -97 40 32.99479,     2797.838,   30 57 21.56771,  -97 40 32.99479,     2797.838, 1266457997.00, -124.656972585,   3.0614223614,   0.2605812052,   -39.989,   -34.813,     2.548
  30 57 20.43857,  -97 40 34.49440,     2800.340,   30 57 20.43857,  -97 40 34.49440,     2800.340, 1266457998.00, -124.866228231,   3.0360059536,   0.4566301740,   -39.646,   -34.773,     2.457
  30 57 19.31082,  -97 40 35.98174,     2802.727,   30 57 19.31082,  -97 40 35.98174,     2802.727, 1266457999.00, -125.065428467,   2.9286050149,   0.6194647794,   -39.340,   -34.727,     2.307
