  31 09 03.55512,  -97 24 43.89896,      181.503,         Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
  31 09 03.55512,  -97 24 43.89896,      181.503,   31 09 03.55512,  -97 24 43.89896,      181.503, 1266446236.00,  32.5993275681,   3.3708253003,   0.9191961907,    -0.008,    -0.019,     0.020
  31 09 03.55509,  -97 24 43.89895,      181.505,   31 09 03.55509,  -97 24 43.89895,      181.505, 1266446237.00,  32.6102023071,   3.3357889311,   0.9268050702,    -0.004,    -0.001,     0.018
  31 09 03.55504,  -97 24 43.89894,      181.505,   31 09 03.55504,  -97 24 43.89894,      181.505, 1266446238.00,  32.6228073786,   3.3781477009,   0.9876302698,     0.007,     0.013,     0.003
  31 09 03.55509,  -97 24 43.89897,      181.502,   31 09 03.55509,  -97 24 43.89897,      181.502, 1266446239.00,  32.6917513901,   3.4495898084,   1.0078155729,     0.002,    -0.017,     0.004
  31 09 03.55511,  -97 24 43.89887,      181.507,   31 09 03.55511,  -97 24 43.89887,      181.507, 1266446240.00,  32.6481263835,   3.3162854478,   1.1114464493,     0.007,    -0.004,     0.017
  31 09 03.55509,  -97 24 43.89891,      181.506,   31 09 03.55509,  -97 24 43.89891,      181.506, 1266446241.00,  32.6425515042,   3.3545704877,   0.9279223379,     0.008,     0.001,     0.026
  31 09 03.55503,  -97 24 43.89894,      181.505,   31 09 03.55503,  -97 24 43.89894,      181.505, 1266446242.00,  32.6670225316,   3.3872405411,   0.9828804497,     0.005,    -0.012,     0.016
  31 09 03.55502,  -97 24 43.89889,      181.505,   31 09 03.55502,  -97 24 43.89889,      181.505, 1266446243.00,  32.6540163897,   3.3804452617,   1.0030256457,     0.004,    -0.009,    -0.017
  31 09 03.55506,  -97 24 43.89887,      181.507,   31 09 03.55506,  -97 24 43.89887,      181.507, 1266446244.00,  32.6771753438,   3.2999045844,   1.0721988403,    -0.001,     0.011,    -0.007
  31 09 03.55503,  -97 24 43.89885,      181.504,   31 09 03.55503,  -97 24 43.89885,      181.504, 1266446245.00,  32.6683575233,   3.3935488065,   1.0991622342,     0.004,     0.020,    -0.007
  31 09 03.55507,  -97 24 43.89885,      181.505,   31 09 03.55507,  -97 24 43.89885,      181.505, 1266446246.00,  32.6257982183,   3.3540834735,   0.8132448353,    -0.010,     0.001,    -0.014
  31 09 03.55512,  -97 24 43.89882,      181.508,   31 09 03.55512,  -97 24 43.89882,      181.508, 1266446247.00,  32.6682543909,   3.2287604150,   0.8903706841,     0.003,     0.001,    -0.010
  31 09 03.55511,  -97 24 43.89882,      181.507,   31 09 03.55511,  -97 24 43.89882,      181.507, 1266446248.00,  32.6949083875,   3.2623701193,   1.0212628924,     0.012,    -0.002,    -0.014
  31 09 03.55501,  -97 24 43.89886,      181.506,   31 09 03.55501,  -97 24 43.89886,      181.506, 1266446249.00,  32.6880844602,   3.3289191672,   1.0631690255,     0.002,     0.010,     0.022
  31 09 03.55501,  -97 24 43.89883,      181.505,   31 09 03.55501,  -97 24 43.89883,      181.505, 1266446250.00,  32.6416347717,   3.3439707685,   0.9564613657,    -0.007,     0.014,     0.008
  31 09 03.55497,  -97 24 43.89882,      181.501,   31 09 03.55497,  -97 24 43.89882,      181.501, 1266446251.00,  32.6167626738,   3.4291294855,   0.9219807656,    -0.010,    -0.006,     0.007
  31 09 03.55498,  -97 24 43.89876,      181.503,   31 09 03.55498,  -97 24 43.89876,      181.503, 1266446252.00,  32.5954028072,   3.3798894926,   0.9311137129,    -0.000,     0.005,    -0.002
  31 09 03.55504,  -97 24 43.89879,      181.504,   31 09 03.55504,  -97 24 43.89879,      181.504, 1266446253.00,  32.6976585849,   3.3462797884,   1.0436082464,     0.001,     0.003,    -0.002
  31 09 03.55507,  -97 24 43.89880,      181.502,   31 09 03.55507,  -97 24 43.89880,      181.502, 1266446254.00,  32.7031704389,   3.3452885714,   0.9225651826,     0.004,     0.009,    -0.014
  31 09 03.55513,  -97 24 43.89867,      181.504,   31 09 03.55513,  -97 24 43.89867,      181.504, 1266446255.00,  32.6257753000,   3.2843430507,   0.9138734128,    -0.005,    -0.007,     0.001
  31 09 03.55505,  -97 24 43.89869,      181.501,   31 09 03.55505,  -97 24 43.89869,      181.501, 1266446256.00,  32.6695951121,   3.3386995567,   0.9553899346,     0.001,    -0.017,     0.010
  31 09 03.55495,  -97 24 43.89865,      181.502,   31 09 03.55495,  -97 24 43.89865,      181.502, 1266446257.00,  32.5700494248,   3.3458557996,   0.9294521353,     0.013,     0.008,     0.000
  31 09 03.55501,  -97 24 43.89865,      181.501,   31 09 03.55501,  -97 24 43.89865,      181.501, 1266446258.00,  32.6533975953,   3.2949484995,   0.9728594178,     0.008,     0.008,     0.004
  31 09 03.55499,  -97 24 43.89863,      181.500,   31 09 03.55499,  -97 24 43.89863,      181.500, 1266446259.00,  32.6083172759,   3.3499352591,   0.9200384387,     0.013,     0.008,     0.013
  31 09 03.55498,  -97 24 43.89865,      181.500,   31 09 03.55498,  -97 24 43.89865,      181.500, 1266446260.00,  32.6208077559,   3.3530922566,   0.9891944446,     0.001,     0.014,     0.004
  31 09 03.55494,  -97 24 43.89867,      181.498,   31 09 03.55494,  -97 24 43.89867,      181.498, 1266446261.00,  32.6674694387,   3.4106401375,   1.1151706750,    -0.008,     0.017,     0.010
  31 09 03.55492,  -97 24 43.89864,      181.498,   31 09 03.55492,  -97 24 43.89864,      181.498, 1266446262.00,  32.6134223299,   3.4080962049,   1.0005390089,    -0.012,     0.001,    -0.001
  31 09 03.55498,  -97 24 43.89864,      181.499,   31 09 03.55498,  -97 24 43.89864,      181.499, 1266446263.00,  32.6492379217,   3.3939613361,   1.0040054036,    -0.013,    -0.002,     0.000
  31 09 03.55497,  -97 24 43.89871,      181.500,   31 09 03.55497,  -97 24 43.89871,      181.500, 1266446264.00,  32.6717494334,   3.3684532550,   1.1040151867,     0.005,    -0.006,     0.002
  31 09 03.55495,  -97 24 43.89874,      181.500,   31 09 03.55495,  -97 24 43.89874,      181.500, 1266446265.00,  32.6744136872,   3.4023494382,   0.9919904786,    -0.008,    -0.018,    -0.002
  31 09 03.55488,  -97 24 43.89870,      181.500,   31 09 03.55488,  -97 24 43.89870,      181.500, 1266446266.00,  32.5926411507,   3.4181344255,   0.8892534164,    -0.002,    -0.022,     0.014
  31 09 03.55488,  -97 24 43.89869,      181.505,   31 09 03.55488,  -97 24 43.89869,      181.505, 1266446267.00,  32.6042091685,   3.2854431297,   0.9187722020,    -0.005,    -0.005,     0.006
  31 09 03.55488,  -97 24 43.89862,      181.506,   31 09 03.55488,  -97 24 43.89862,      181.506, 1266446268.00,  32.5652652272,   3.2755710669,   0.8438235928,     0.004,     0.017,     0.008
  31 09 03.55493,  -97 24 43.89861,      181.507,   31 09 03.55493,  -97 24 43.89861,      181.507, 1266446269.00,  32.6498567161,   3.2698472185,   1.0764215393,     0.010,     0.027,     0.019
  31 09 03.55487,  -97 24 43.89861,      181.504,   31 09 03.55487,  -97 24 43.89861,      181.504, 1266446270.00,  32.6315908216,   3.3612970122,   1.0713737811,     0.001,     0.008,     0.001
  31 09 03.55486,  -97 24 43.89863,      181.505,   31 09 03.55486,  -97 24 43.89863,      181.505, 1266446271.00,  32.5924635337,   3.3462167630,   0.9034627697,    -0.011,    -0.004,    -0.001
  31 09 03.55491,  -97 24 43.89859,      181.506,   31 09 03.55491,  -97 24 43.89859,      181.506, 1266446272.00,  32.6183612261,   3.3099141571,   0.9648838453,    -0.004,    -0.002,    -0.008
  31 09 03.55490,  -97 24 43.89860,      181.504,   31 09 03.55490,  -97 24 43.89860,      181.504, 1266446273.00,  32.6350113796,   3.4050480694,   1.0816698327,    -0.013,     0.005,     0.008
  31 09 03.55492,  -97 24 43.89859,      181.504,   31 09 03.55492,  -97 24 43.89859,      181.504, 1266446274.00,  32.6167569443,   3.3834017239,   0.9844847315,    -0.007,     0.004,     0.019
  31 09 03.55494,  -97 24 43.89858,      181.504,   31 09 03.55494,  -97 24 43.89858,      181.504, 1266446275.00,  32.5889570320,   3.3778726812,   0.9577161433,     0.006,     0.014,     0.033
  31 09 03.55498,  -97 24 43.89864,      181.505,   31 09 03.55498,  -97 24 43.89864,      181.505, 1266446276.00,  32.6649140469,   3.3899449019,   1.0005103610,     0.021,     0.013,    -0.012
  31 09 03.55500,  -97 24 43.89860,      181.503,   31 09 03.55500,  -97 24 43.89860,      181.503, 1266446277.00,  32.6424025352,   3.4258006008,   1.0200539514,    -0.001,     0.022,    -0.002
  31 09 03.55500,  -97 24 43.89861,      181.503,   31 09 03.55500,  -97 24 43.89861,      181.503, 1266446278.00,  32.6493811611,   3.4595019783,   1.0191945147,     0.002,     0.010,     0.005
  31 09 03.55504,  -97 24 43.89856,      181.503,   31 09 03.55504,  -97 24 43.89856,      181.503, 1266446279.00,  32.6050514165,   3.4198303805,   0.9622711578,     0.004,     0.002,     0.003
  31 09 03.55505,  -97 24 43.89863,      181.502,   31 09 03.55505,  -97 24 43.89863,      181.502, 1266446280.00,  32.6444651832,   3.4621261250,   0.9508922160,     0.003,    -0.007,     0.011
  31 09 03.55505,  -97 24 43.89865,      181.504,   31 09 03.55505,  -97 24 43.89865,      181.504, 1266446281.00,  32.6740412646,   3.4054720582,   0.9877505909,    -0.002,    -0.000,     0.019
  31 09 03.55512,  -97 24 43.89863,      181.504,   31 09 03.55512,  -97 24 43.89863,      181.504, 1266446282.00,  32.6691424755,   3.3558882906,   0.9682757555,     0.001,    -0.002,    -0.015
  31 09 03.55511,  -97 24 43.89863,      181.503,   31 09 03.55511,  -97 24 43.89863,      181.503, 1266446283.00,  32.6553399222,   3.3920361979,   0.9757413955,    -0.011,    -0.011,     0.003
  31 09 03.55510,  -97 24 43.89863,      181.505,   31 09 03.55510,  -97 24 43.89863,      181.505, 1266446284.00,  32.5925895845,   3.3771679431,   0.9168814412,     0.002,     0.002,     0.002
  31 09 03.55510,  -97 24 43.89871,      181.503,   31 09 03.55510,  -97 24 43.89871,      181.503, 1266446285.00,  32.6568468012,   3.4297425504,   0.9415644631,     0.010,    -0.006,     0.000
  31 09 03.55508,  -97 24 43.89874,      181.505,   31 09 03.55508,  -97 24 43.89874,      181.505, 1266446286.00,  32.6671428528,   3.3647634068,   0.9408711841,     0.014,     0.006,     0.013
  31 09 03.55511,  -97 24 43.89876,      181.506,   31 09 03.55511,  -97 24 43.89876,      181.506, 1266446287.00,  32.6658766160,   3.3588332937,   0.9353020343,     0.013,     0.012,     0.010
  31 09 03.55505,  -97 24 43.89879,      181.505,   31 09 03.55505,  -97 24 43.89879,      181.505, 1266446288.00,  32.6354239092,   3.4161863690,   0.9290052282,     0.009,     0.007,    -0.003
  31 09 03.55515,  -97 24 43.89872,      181.508,   31 09 03.55515,  -97 24 43.89872,      181.508, 1266446289.00,  32.6354983937,   3.2895397779,   0.9846337005,    -0.004,     0.012,    -0.016
  31 09 03.55510,  -97 24 43.89879,      181.507,   31 09 03.55510,  -97 24 43.89879,      181.507, 1266446290.00,  32.6700019122,   3.3235906597,   1.1081232941,    -0.000,    -0.001,     0.001
  31 09 03.55510,  -97 24 43.89880,      181.509,   31 09 03.55510,  -97 24 43.89880,      181.509, 1266446291.00,  32.6700420192,   3.2619862376,   0.9543872585,    -0.004,     0.005,    -0.019
  31 09 03.55517,  -97 24 43.89876,      181.511,   31 09 03.55517,  -97 24 43.89876,      181.511, 1266446292.00,  32.6773415015,   3.1923145697,   0.9146640946,     0.008,     0.025,     0.012
  31 09 03.55497,  -97 24 43.89888,      181.506,   31 09 03.55497,  -97 24 43.89888,      181.506, 1266446293.00,  32.6171694739,   3.4154243351,   0.7929965068,     0.015,     0.026,     0.033
  31 09 03.55498,  -97 24 43.89889,      181.509,   31 09 03.55498,  -97 24 43.89889,      181.509, 1266446294.00,  32.6144135469,   3.3638753223,   0.8742075447,     0.003,     0.012,     0.008
  31 09 03.55494,  -97 24 43.89892,      181.505,   31 09 03.55494,  -97 24 43.89892,      181.505, 1266446295.00,  32.6313387201,   3.4479282308,   0.9864041401,     0.003,    -0.009,     0.002
  31 09 03.55498,  -97 24 43.89891,      181.507,   31 09 03.55498,  -97 24 43.89891,      181.507, 1266446296.00,  32.6971830300,   3.4034036805,   1.1703064036,    -0.007,    -0.003,    -0.019
  31 09 03.55501,  -97 24 43.89894,      181.509,   31 09 03.55501,  -97 24 43.89894,      181.509, 1266446297.00,  32.6603418437,   3.3877103665,   1.0030657528,     0.013,     0.010,     0.001
  31 09 03.55504,  -97 24 43.89892,      181.510,   31 09 03.55504,  -97 24 43.89892,      181.510, 1266446298.00,  32.6083230055,   3.3258137359,   0.9669923300,     0.006,    -0.007,    -0.003
  31 09 03.55507,  -97 24 43.89891,      181.511,   31 09 03.55507,  -97 24 43.89891,      181.511, 1266446299.00,  32.6685924360,   3.3026261340,   1.0087036575,    -0.012,    -0.016,    -0.014
  31 09 03.55499,  -97 24 43.89898,      181.509,   31 09 03.55499,  -97 24 43.89898,      181.509, 1266446300.00,  32.6960485735,   3.4429434980,   1.0199622782,    -0.016,    -0.008,     0.007
  31 09 03.55501,  -97 24 43.89901,      181.511,   31 09 03.55501,  -97 24 43.89901,      181.511, 1266446301.00,  32.6693487403,   3.3838887380,   0.9254242420,    -0.008,    -0.006,     0.013
  31 09 03.55500,  -97 24 43.89890,      181.511,   31 09 03.55500,  -97 24 43.89890,      181.511, 1266446302.00,  32.6304563651,   3.4045725144,   0.9811615763,    -0.003,    -0.011,    -0.024
  31 09 03.55501,  -97 24 43.89890,      181.508,   31 09 03.55501,  -97 24 43.89890,      181.508, 1266446303.00,  32.5897878208,   3.4885566681,   0.9372386317,     0.002,     0.010,    -0.033
  31 09 03.55498,  -97 24 43.89894,      181.510,   31 09 03.55498,  -97 24 43.89894,      181.510, 1266446304.00,  32.6257237338,   3.4215091469,   0.9258138533,     0.001,     0.003,    -0.000
  31 09 03.55503,  -97 24 43.89894,      181.509,   31 09 03.55503,  -97 24 43.89894,      181.509, 1266446305.00,  32.6387699827,   3.4375519651,   0.8940433435,    -0.005,    -0.001,    -0.021
  31 09 03.55500,  -97 24 43.89897,      181.510,   31 09 03.55500,  -97 24 43.89897,      181.510, 1266446306.00,  32.6593334380,   3.4143127970,   0.9186862583,    -0.000,     0.005,    -0.010
  31 09 03.55501,  -97 24 43.89899,      181.509,   31 09 03.55501,  -97 24 43.89899,      181.509, 1266446307.00,  32.6534720798,   3.4692365312,   0.8918947518,    -0.000,     0.012,    -0.015
  31 09 03.55500,  -97 24 43.89899,      181.510,   31 09 03.55500,  -97 24 43.89899,      181.510, 1266446308.00,  32.6632467398,   3.4547808060,   0.9588620589,    -0.008,    -0.004,    -0.005
  31 09 03.55507,  -97 24 43.89896,      181.513,   31 09 03.55507,  -97 24 43.89896,      181.513, 1266446309.00,  32.6793697721,   3.3249600288,   0.9465377367,    -0.009,     0.002,    -0.004
  31 09 03.55503,  -97 24 43.89896,      181.509,   31 09 03.55503,  -97 24 43.89896,      181.509, 1266446310.00,  32.6268008944,   3.4565684344,   0.9119597338,    -0.009,    -0.008,    -0.011
  31 09 03.55501,  -97 24 43.89898,      181.509,   31 09 03.55501,  -97 24 43.89898,      181.509, 1266446311.00,  32.6449693861,   3.4326875535,   0.9385507050,     0.005,    -0.010,     0.010
  31 09 03.55503,  -97 24 43.89904,      181.510,   31 09 03.55503,  -97 24 43.89904,      181.510, 1266446312.00,  32.6962548383,   3.3978689082,   0.9925347885,     0.010,    -0.002,     0.008
  31 09 03.55507,  -97 24 43.89897,      181.507,   31 09 03.55507,  -97 24 43.89897,      181.507, 1266446313.00,  32.6499942260,   3.4331115422,   0.9685393160,     0.000,     0.010,    -0.024
  31 09 03.55508,  -97 24 43.89898,      181.508,   31 09 03.55508,  -97 24 43.89898,      181.508, 1266446314.00,  32.6725744927,   3.3899620907,   0.9272691661,    -0.008,    -0.003,    -0.004
  31 09 03.55506,  -97 24 43.89899,      181.509,   31 09 03.55506,  -97 24 43.89899,      181.509, 1266446315.00,  32.6501833020,   3.3412606781,   0.9146698241,     0.012,     0.013,    -0.008
  31 09 03.55509,  -97 24 43.89893,      181.510,   31 09 03.55509,  -97 24 43.89893,      181.510, 1266446316.00,  32.6586172408,   3.2623300122,   0.9625003409,     0.019,     0.023,    -0.001
  31 09 03.55504,  -97 24 43.89893,      181.507,   31 09 03.55504,  -97 24 43.89893,      181.507, 1266446317.00,  32.6374636390,   3.3698971087,   0.9577619799,     0.013,     0.007,    -0.006
  31 09 03.55498,  -97 24 43.89895,      181.506,   31 09 03.55498,  -97 24 43.89895,      181.506, 1266446318.00,  32.5536742910,   3.3941446826,   0.9006380877,     0.001,     0.011,     0.013
  31 09 03.55503,  -97 24 43.89889,      181.506,   31 09 03.55503,  -97 24 43.89889,      181.506, 1266446319.00,  32.5816346314,   3.3698684608,   0.9776493450,     0.007,     0.009,     0.010
  31 09 03.55498,  -97 24 43.89889,      181.503,   31 09 03.55498,  -97 24 43.89889,      181.503, 1266446320.00,  32.5965200749,   3.4323323196,   0.9344655160,     0.006,    -0.008,     0.009
  31 09 03.55498,  -97 24 43.89893,      181.503,   31 09 03.55498,  -97 24 43.89893,      181.503, 1266446321.00,  32.6504354035,   3.4643205533,   1.0007223554,     0.015,     0.003,    -0.008
  31 09 03.55510,  -97 24 43.89900,      181.504,   31 09 03.55510,  -97 24 43.89900,      181.504, 1266446322.00,  32.7617840214,   3.3990663900,   0.9660412201,    -0.006,    -0.015,    -0.008
  31 09 03.55510,  -97 24 43.89897,      181.506,   31 09 03.55510,  -97 24 43.89897,      181.506, 1266446323.00,  32.7015203205,   3.3687053565,   0.8937855125,    -0.004,    -0.023,    -0.003
  31 09 03.55505,  -97 24 43.89889,      181.509,   31 09 03.55505,  -97 24 43.89889,      181.509, 1266446324.00,  32.6268925677,   3.3010103930,   0.9171507314,     0.008,    -0.005,     0.019
  31 09 03.55508,  -97 24 43.89889,      181.508,   31 09 03.55508,  -97 24 43.89889,      181.508, 1266446325.00,  32.6500916288,   3.3179069184,   0.9215854247,     0.009,     0.019,     0.013
  31 09 03.55503,  -97 24 43.89881,      181.506,   31 09 03.55503,  -97 24 43.89881,      181.506, 1266446326.00,  32.5603950859,   3.4029281256,   0.8792724916,     0.019,     0.021,     0.017
  31 09 03.55501,  -97 24 43.89882,      181.506,   31 09 03.55501,  -97 24 43.89882,      181.506, 1266446327.00,  32.5659470470,   3.4368586862,   0.9369693415,     0.015,     0.015,     0.022
  31 09 03.55502,  -97 24 43.89887,      181.506,   31 09 03.55502,  -97 24 43.89887,      181.506, 1266446328.00,  32.6166366231,   3.4868836313,   0.9995191440,     0.004,     0.015,     0.009
  31 09 03.55506,  -97 24 43.89885,      181.507,   31 09 03.55506,  -97 24 43.89885,      181.507, 1266446329.00,  32.6025991571,   3.4777506840,   0.9465778438,     0.001,    -0.000,     0.015
  31 09 03.55509,  -97 24 43.89891,      181.509,   31 09 03.55509,  -97 24 43.89891,      181.509, 1266446330.00,  32.6303818806,   3.4383541060,   0.9636290677,    -0.017,     0.001,     0.018
  31 09 03.55515,  -97 24 43.89888,      181.512,   31 09 03.55515,  -97 24 43.89888,      181.512, 1266446331.00,  32.6087985605,   3.3659379703,   0.9167611201,    -0.005,    -0.000,    -0.004
  31 09 03.55526,  -97 24 43.89885,      181.514,   31 09 03.55526,  -97 24 43.89885,      181.514, 1266446332.00,  32.6199655079,   3.3219348117,   0.9641791072,     0.004,    -0.005,    -0.035
  31 09 03.55525,  -97 24 43.89890,      181.514,   31 09 03.55525,  -97 24 43.89890,      181.514, 1266446333.00,  32.6594079225,   3.3321735675,   1.0141983227,     0.013,    -0.013,    -0.018
  31 09 03.55522,  -97 24 43.89896,      181.514,   31 09 03.55522,  -97 24 43.89896,      181.514, 1266446334.00,  32.6480289807,   3.3815797181,   0.9315606199,    -0.002,     0.005,     0.010
  31 09 03.55524,  -97 24 43.89895,      181.516,   31 09 03.55524,  -97 24 43.89895,      181.516, 1266446335.00,  32.5988520132,   3.3482679519,   0.8564057460,     0.001,    -0.003,     0.008
  31 09 03.55526,  -97 24 43.89895,      181.515,   31 09 03.55526,  -97 24 43.89895,      181.515, 1266446336.00,  32.5903607786,   3.3667401112,   0.8816388073,     0.004,     0.007,     0.006
  31 09 03.55529,  -97 24 43.89894,      181.517,   31 09 03.55529,  -97 24 43.89894,      181.517, 1266446337.00,  32.6244345787,   3.3404241597,   0.9141484326,     0.015,     0.013,    -0.002
  31 09 03.55536,  -97 24 43.89892,      181.517,   31 09 03.55536,  -97 24 43.89892,      181.517, 1266446338.00,  32.6704889263,   3.3179814029,   0.8542456951,     0.009,    -0.003,    -0.002
  31 09 03.55535,  -97 24 43.89887,      181.521,   31 09 03.55535,  -97 24 43.89887,      181.521, 1266446339.00,  32.6361171882,   3.2444021628,   0.9076396320,     0.001,    -0.007,    -0.008
  31 09 03.55524,  -97 24 43.89894,      181.519,   31 09 03.55524,  -97 24 43.89894,      181.519, 1266446340.00,  32.6550935503,   3.3401090329,   0.8983118791,    -0.011,     0.002,     0.011
  31 09 03.55529,  -97 24 43.89890,      181.521,   31 09 03.55529,  -97 24 43.89890,      181.521, 1266446341.00,  32.6795531186,   3.2758288979,   1.0130810550,    -0.011,     0.000,     0.006
  31 09 03.55525,  -97 24 43.89893,      181.518,   31 09 03.55525,  -97 24 43.89893,      181.518, 1266446342.00,  32.7085848901,   3.3406533428,   1.0152009989,    -0.005,     0.011,    -0.001
  31 09 03.55513,  -97 24 43.89895,      181.516,   31 09 03.55513,  -97 24 43.89895,      181.516, 1266446343.00,  32.6496733696,   3.4292498067,   0.9369005866,     0.007,     0.017,     0.007
  31 09 03.55514,  -97 24 43.89887,      181.513,   31 09 03.55514,  -97 24 43.89887,      181.513, 1266446344.00,  32.6662662273,   3.4904073217,   1.0607282253,    -0.012,    -0.008,    -0.020
  31 09 03.55510,  -97 24 43.89884,      181.514,   31 09 03.55510,  -97 24 43.89884,      181.514, 1266446345.00,  32.6799885665,   3.4497445070,   1.1016488710,    -0.011,    -0.029,     0.002
  31 09 03.55510,  -97 24 43.89883,      181.513,   31 09 03.55510,  -97 24 43.89883,      181.513, 1266446346.00,  32.6612585762,   3.4588831838,   1.0656900398,    -0.002,    -0.006,    -0.013
  31 09 03.55507,  -97 24 43.89881,      181.515,   31 09 03.55507,  -97 24 43.89881,      181.515, 1266446347.00,  32.5900972180,   3.4211309947,   1.0469944269,     0.001,     0.001,    -0.002
  31 09 03.55507,  -97 24 43.89885,      181.511,   31 09 03.55507,  -97 24 43.89885,      181.511, 1266446348.00,  32.6391424053,   3.4939940375,   1.0887000248,     0.016,     0.018,     0.001
  31 09 03.55515,  -97 24 43.89876,      181.519,   31 09 03.55515,  -97 24 43.89876,      181.519, 1266446349.00,  32.6812949103,   3.2516443493,   1.1662842399,    -0.009,     0.016,     0.002
  31 09 03.55505,  -97 24 43.89877,      181.515,   31 09 03.55505,  -97 24 43.89877,      181.515, 1266446350.00,  32.6110674734,   3.3627695137,   1.1441336915,    -0.006,    -0.006,     0.013
  31 09 03.55504,  -97 24 43.89879,      181.513,   31 09 03.55504,  -97 24 43.89879,      181.513, 1266446351.00,  32.6229620772,   3.4224889047,   1.0934899520,    -0.011,    -0.011,     0.021
  31 09 03.55498,  -97 24 43.89885,      181.513,   31 09 03.55498,  -97 24 43.89885,      181.513, 1266446352.00,  32.6667761598,   3.4251875359,   0.9937666478,    -0.018,    -0.015,     0.018
  31 09 03.55500,  -97 24 43.89882,      181.515,   31 09 03.55500,  -97 24 43.89882,      181.515, 1266446353.00,  32.6309834863,   3.3519979072,   0.9194712105,    -0.006,    -0.007,    -0.018
  31 09 03.55502,  -97 24 43.89881,      181.513,   31 09 03.55502,  -97 24 43.89881,      181.513, 1266446354.00,  32.6336935767,   3.3834131831,   0.9008443526,    -0.015,    -0.000,     0.002
  31 09 03.55503,  -97 24 43.89883,      181.514,   31 09 03.55503,  -97 24 43.89883,      181.514, 1266446355.00,  32.6509109584,   3.3377197989,   0.8442361224,    -0.007,     0.009,     0.007
  31 09 03.55498,  -97 24 43.89882,      181.510,   31 09 03.55498,  -97 24 43.89882,      181.510, 1266446356.00,  32.6349655430,   3.4471948448,   0.9577276025,     0.012,     0.001,    -0.015
  31 09 03.55497,  -97 24 43.89876,      181.511,   31 09 03.55497,  -97 24 43.89876,      181.511, 1266446357.00,  32.6313902863,   3.3760334867,   1.0956500029,     0.002,     0.012,     0.001
  31 09 03.55503,  -97 24 43.89873,      181.512,   31 09 03.55503,  -97 24 43.89873,      181.512, 1266446358.00,  32.6568983674,   3.3274867727,   1.0606422816,     0.002,     0.013,    -0.023
  31 09 03.55495,  -97 24 43.89879,      181.507,   31 09 03.55495,  -97 24 43.89879,      181.507, 1266446359.00,  32.6330289456,   3.4826208253,   0.9748475814,    -0.004,     0.004,    -0.021
  31 09 03.55491,  -97 24 43.89880,      181.505,   31 09 03.55491,  -97 24 43.89880,      181.505, 1266446360.00,  32.6395434758,   3.5453138672,   0.9851207146,    -0.000,     0.003,     0.013
  31 09 03.55491,  -97 24 43.89882,      181.505,   31 09 03.55491,  -97 24 43.89882,      181.505, 1266446361.00,  32.6276603311,   3.5410854387,   0.9070724038,    -0.015,     0.005,     0.024
  31 09 03.55490,  -97 24 43.89880,      181.506,   31 09 03.55490,  -97 24 43.89880,      181.506, 1266446362.00,  32.6049368249,   3.4923897557,   0.9813964890,     0.004,     0.003,     0.022
  31 09 03.55497,  -97 24 43.89880,      181.509,   31 09 03.55497,  -97 24 43.89880,      181.509, 1266446363.00,  32.6182982007,   3.4035068129,   0.9634285325,     0.004,     0.011,     0.004
  31 09 03.55499,  -97 24 43.89881,      181.505,   31 09 03.55499,  -97 24 43.89881,      181.505, 1266446364.00,  32.6250132661,   3.5102259319,   0.9832070356,    -0.002,     0.003,     0.011
  31 09 03.55500,  -97 24 43.89887,      181.505,   31 09 03.55500,  -97 24 43.89887,      181.505, 1266446365.00,  32.6570244181,   3.5133370927,   0.9421889870,    -0.007,    -0.014,     0.002
  31 09 03.55491,  -97 24 43.89886,      181.500,   31 09 03.55491,  -97 24 43.89886,      181.500, 1266446366.00,  32.6261763704,   3.6545597300,   1.0395459756,    -0.005,    -0.026,    -0.010
  31 09 03.55492,  -97 24 43.89882,      181.502,   31 09 03.55492,  -97 24 43.89882,      181.502, 1266446367.00,  32.6215067644,   3.5736523598,   1.0122731845,    -0.003,    -0.027,    -0.013
  31 09 03.55482,  -97 24 43.89892,      181.496,   31 09 03.55482,  -97 24 43.89892,      181.496, 1266446368.00,  32.6259242690,   3.8058606950,   1.0159630327,    -0.012,    -0.037,    -0.039
  31 09 03.55496,  -97 24 43.89880,      181.501,   31 09 03.55496,  -97 24 43.89880,      181.501, 1266446369.00,  32.6094173549,   3.6053655738,   0.9934572506,    -0.014,    -0.022,    -0.051
  31 09 03.55509,  -97 24 43.89876,      181.508,   31 09 03.55509,  -97 24 43.89876,      181.508, 1266446370.00,  32.6705347629,   3.3214879046,   1.0486101679,    -0.002,    -0.000,    -0.025
  31 09 03.55504,  -97 24 43.89883,      181.508,   31 09 03.55504,  -97 24 43.89883,      181.508, 1266446371.00,  32.6729411856,   3.3069290470,   1.0547923825,    -0.011,    -0.006,    -0.001
  31 09 03.55500,  -97 24 43.89887,      181.508,   31 09 03.55500,  -97 24 43.89887,      181.508, 1266446372.00,  32.6743793097,   3.3387110159,   1.0118205479,    -0.005,    -0.002,     0.012
  31 09 03.55492,  -97 24 43.89886,      181.507,   31 09 03.55492,  -97 24 43.89886,      181.507, 1266446373.00,  32.6256034126,   3.3665166577,   0.9717650684,     0.020,     0.021,    -0.012
